Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Nic Claxton,23.0,BRK,C,76.0,76.0,29.9,5.4,7.7,0.705,0.0,0.0,0.0,5.4,7.7,0.708,0.705,1.8,3.2,0.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6,DPOY-9
Jakob Poeltl,27.0,2TM,C,72.0,71.0,26.5,5.4,8.6,0.629,0.0,0.0,0.0,5.4,8.6,0.63,0.629,1.7,2.8,0.592,3.3,5.8,9.1,2.7,0.9,1.2,1.7,2.7,12.5,0
Jakob Poeltl,27.0,SAS,C,46.0,46.0,26.1,5.2,8.4,0.616,0.0,0.0,0.0,5.2,8.4,0.618,0.616,1.7,2.8,0.605,3.3,5.7,9.0,3.1,0.8,1.1,2.1,2.6,12.1,0
Jakob Poeltl,27.0,TOR,C,26.0,25.0,27.2,5.8,8.8,0.652,0.0,0.0,0.0,5.8,8.8,0.652,0.652,1.6,2.8,0.569,3.2,5.9,9.1,2.2,1.2,1.3,1.1,3.0,13.1,0
Kelly Olynyk,31.0,UTA,C,68.0,68.0,28.6,4.1,8.2,0.499,1.4,3.5,0.394,2.7,4.7,0.576,0.583,2.9,3.4,0.853,1.2,5.0,6.2,3.7,0.9,0.5,2.5,3.4,12.5,0
Marvin Bagley III,23.0,DET,C,42.0,25.0,23.6,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,0.554,1.9,2.6,0.75,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12.0,0
Clint Capela,28.0,ATL,C,65.0,63.0,26.6,5.4,8.2,0.653,0.0,0.0,0.0,5.4,8.2,0.654,0.653,1.2,2.0,0.603,4.0,7.1,11.0,0.9,0.7,1.2,0.8,2.1,12.0,0
Zach Collins,25.0,SAS,C,63.0,26.0,22.9,4.5,8.7,0.518,0.9,2.3,0.374,3.6,6.4,0.571,0.568,1.7,2.3,0.761,1.8,4.5,6.4,2.9,0.6,0.8,2.0,3.2,11.6,0
Naz Reid,23.0,MIN,C,68.0,11.0,18.4,4.6,8.5,0.537,1.1,3.2,0.346,3.5,5.3,0.653,0.602,1.3,1.9,0.677,1.1,3.8,4.9,1.1,0.6,0.8,1.4,2.6,11.5,0
Isaiah Stewart,21.0,DET,C,50.0,47.0,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,0
Rui Hachimura,24.0,2TM,PF,63.0,9.0,23.3,4.5,9.3,0.486,0.8,2.5,0.319,3.7,6.7,0.55,0.53,1.4,1.9,0.739,0.8,3.7,4.5,0.9,0.3,0.4,0.8,1.1,11.2,0
Rui Hachimura,24.0,WAS,PF,30.0,0.0,24.3,5.3,10.8,0.488,1.0,3.0,0.337,4.3,7.8,0.545,0.534,1.5,1.9,0.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0,0
Rui Hachimura,24.0,LAL,PF,33.0,9.0,22.4,3.8,7.9,0.485,0.6,2.2,0.296,3.2,5.7,0.556,0.525,1.3,1.8,0.721,1.0,3.7,4.7,0.7,0.2,0.4,0.5,1.0,9.6,0
Marcus Morris,33.0,LAC,PF,65.0,65.0,28.1,4.2,9.9,0.426,1.7,4.7,0.364,2.5,5.2,0.484,0.513,1.0,1.3,0.782,0.4,3.5,4.0,1.8,0.6,0.3,0.9,2.1,11.2,0
Jeremy Sochan,19.0,SAS,PF,56.0,53.0,26.0,4.5,9.9,0.453,0.6,2.4,0.246,3.9,7.5,0.519,0.483,1.4,2.1,0.698,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11.0,0
Mason Plumlee,32.0,2TM,C,79.0,60.0,26.0,4.2,6.1,0.68,0.0,0.0,0.0,4.2,6.1,0.68,0.68,2.5,4.0,0.636,2.9,6.0,8.9,3.1,0.6,0.6,1.5,2.7,10.8,0
Mason Plumlee,32.0,CHO,C,56.0,56.0,28.5,4.7,7.1,0.669,0.0,0.0,0.0,4.7,7.1,0.669,0.669,2.8,4.6,0.605,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,12.2,0
Mason Plumlee,32.0,LAC,C,23.0,4.0,19.9,2.8,3.8,0.727,0.0,0.0,0.0,2.8,3.8,0.727,0.727,1.9,2.5,0.772,1.8,5.1,6.9,1.7,0.5,0.5,1.3,2.4,7.5,0
Ivica Zubac,25.0,LAC,C,76.0,76.0,28.6,4.3,6.8,0.634,0.0,0.0,0.0,4.3,6.7,0.637,0.634,2.2,3.1,0.697,3.1,6.8,9.9,1.0,0.4,1.3,1.5,2.9,10.8,0
Moritz Wagner,25.0,ORL,C,57.0,18.0,19.5,3.5,6.9,0.5,0.9,2.9,0.313,2.6,4.1,0.631,0.564,2.7,3.2,0.841,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,10.5,0
Patrick Williams,21.0,CHI,PF,82.0,65.0,28.3,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,0.549,1.1,1.3,0.857,1.0,3.0,4.0,1.2,0.9,0.9,1.2,1.8,10.2,0
James Wiseman,21.0,2TM,C,45.0,22.0,19.3,4.2,7.5,0.558,0.1,0.4,0.2,4.1,7.1,0.58,0.563,1.5,2.2,0.701,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10.0,0
James Wiseman,21.0,GSW,C,21.0,0.0,12.5,2.8,4.5,0.628,0.0,0.1,0.5,2.8,4.4,0.63,0.633,1.2,1.8,0.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9,0
James Wiseman,21.0,DET,C,24.0,22.0,25.2,5.4,10.2,0.531,0.1,0.8,0.167,5.3,9.5,0.559,0.537,1.8,2.5,0.712,2.3,5.8,8.1,0.7,0.2,0.8,1.5,2.9,12.7,0
Brandon Clarke,26.0,MEM,PF,56.0,8.0,19.5,4.1,6.2,0.656,0.0,0.1,0.167,4.1,6.1,0.665,0.658,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1.0,2.3,10.0,0
Jonathan Kuminga,20.0,GSW,PF,67.0,16.0,20.8,3.9,7.4,0.525,0.8,2.2,0.37,3.1,5.2,0.59,0.579,1.3,2.1,0.652,1.0,2.4,3.4,1.9,0.6,0.5,1.4,2.3,9.9,0
Onyeka Okongwu,22.0,ATL,C,80.0,18.0,23.1,4.0,6.2,0.638,0.1,0.2,0.308,3.9,6.1,0.647,0.642,1.9,2.5,0.781,2.7,4.5,7.2,1.0,0.7,1.3,1.0,3.1,9.9,0
Luka Šamanić,23.0,UTA,PF,7.0,4.0,23.0,3.7,8.1,0.456,1.1,4.4,0.258,2.6,3.7,0.692,0.526,1.3,1.9,0.692,0.0,4.3,4.3,2.1,0.9,0.3,1.4,2.4,9.9,0
Thomas Bryant,25.0,2TM,C,59.0,26.0,18.3,3.9,6.3,0.623,0.4,1.0,0.441,3.5,5.3,0.658,0.659,1.6,2.1,0.738,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8,0
Thomas Bryant,25.0,LAL,C,41.0,25.0,21.4,4.8,7.3,0.654,0.5,1.2,0.44,4.3,6.1,0.697,0.691,2.0,2.6,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1,0
Thomas Bryant,25.0,DEN,C,18.0,1.0,11.4,1.8,3.8,0.485,0.2,0.5,0.444,1.6,3.3,0.492,0.515,0.7,1.0,0.722,1.1,2.3,3.3,0.1,0.1,0.4,0.6,1.4,4.6,0
Al Horford,36.0,BOS,C,63.0,63.0,30.5,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,0.627,0.2,0.3,0.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8,0
Herbert Jones,24.0,NOP,PF,66.0,66.0,29.6,3.6,7.6,0.469,0.8,2.5,0.335,2.7,5.1,0.536,0.525,1.9,2.4,0.764,1.5,2.6,4.1,2.5,1.6,0.6,1.3,3.2,9.8,0
Keita Bates-Diop,27.0,SAS,PF,67.0,42.0,21.7,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,0.568,1.8,2.2,0.793,1.0,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,0
Kyle Anderson,29.0,MIN,PF,69.0,46.0,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,0.553,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,0
Chris Boucher,30.0,TOR,PF,76.0,0.0,20.0,3.4,7.0,0.493,0.8,2.5,0.328,2.6,4.5,0.585,0.552,1.7,2.2,0.762,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,0
Jalen Smith,22.0,IND,C,68.0,31.0,18.8,3.6,7.5,0.476,0.8,2.8,0.283,2.8,4.7,0.593,0.53,1.5,2.0,0.759,1.9,3.9,5.8,1.0,0.3,0.9,1.1,2.3,9.4,0
Tari Eason,21.0,HOU,PF,82.0,5.0,21.5,3.6,8.0,0.448,0.7,2.1,0.343,2.9,6.0,0.486,0.493,1.3,1.8,0.752,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,0
Precious Achiuwa,23.0,TOR,C,55.0,12.0,20.7,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,0
Walker Kessler,21.0,UTA,C,74.0,40.0,23.0,4.0,5.6,0.72,0.0,0.0,0.333,4.0,5.6,0.723,0.721,1.1,2.1,0.516,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2,ROY-3
Bol Bol,23.0,ORL,PF,70.0,33.0,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,0.577,1.2,1.5,0.759,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,0
Jalen Duren,19.0,DET,C,67.0,31.0,24.9,3.9,5.9,0.648,0.0,0.0,0.0,3.9,5.9,0.652,0.648,1.4,2.3,0.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,0
Taurean Prince,28.0,MIN,PF,54.0,4.0,22.1,3.3,7.0,0.467,1.4,3.6,0.381,1.9,3.4,0.557,0.565,1.2,1.4,0.844,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,9.1,0
Santi Aldama,22.0,MEM,PF,77.0,20.0,21.8,3.2,6.8,0.47,1.2,3.5,0.353,2.0,3.4,0.591,0.56,1.4,1.9,0.75,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9.0,0
Daniel Gafford,24.0,WAS,C,78.0,47.0,20.6,3.7,5.1,0.732,0.0,0.0,0.0,3.7,5.1,0.732,0.732,1.6,2.4,0.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0,0
Mark Williams,21.0,CHO,C,43.0,17.0,19.3,3.7,5.8,0.637,0.0,0.0,0.0,3.7,5.8,0.637,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,9.0,0
Steven Adams,29.0,MEM,C,42.0,42.0,27.0,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,0.597,1.1,3.1,0.364,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6,0
Draymond Green,32.0,GSW,PF,73.0,73.0,31.5,3.4,6.5,0.527,0.5,1.8,0.305,2.9,4.7,0.612,0.57,1.1,1.5,0.713,0.9,6.3,7.2,6.8,1.0,0.8,2.8,3.1,8.5,DPOY-4
Dorian Finney-Smith,29.0,2TM,PF,66.0,66.0,30.4,3.0,7.6,0.391,1.7,5.1,0.337,1.2,2.5,0.503,0.505,0.7,0.9,0.763,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3,0
Dorian Finney-Smith,29.0,DAL,PF,40.0,40.0,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1,0
Dorian Finney-Smith,29.0,BRK,PF,26.0,26.0,27.7,2.6,7.3,0.351,1.4,4.7,0.306,1.2,2.7,0.429,0.448,0.6,0.7,0.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2,0
Kevin Love,34.0,2TM,PF,62.0,20.0,20.0,2.7,6.8,0.389,1.6,4.8,0.334,1.1,2.1,0.516,0.506,1.3,1.5,0.879,1.0,5.5,6.4,1.9,0.3,0.2,1.1,1.6,8.2,0
Kevin Love,34.0,CLE,PF,41.0,3.0,20.0,2.7,7.0,0.389,1.7,4.8,0.354,1.0,2.2,0.467,0.511,1.4,1.5,0.889,1.0,5.8,6.8,1.9,0.2,0.2,1.1,1.6,8.5,0
Kevin Love,34.0,MIA,PF,21.0,17.0,20.0,2.6,6.6,0.388,1.4,4.8,0.297,1.1,1.8,0.632,0.496,1.1,1.3,0.857,0.8,4.9,5.7,1.9,0.4,0.2,1.1,1.5,7.7,0
Georges Niang,29.0,PHI,PF,78.0,1.0,19.4,2.8,6.4,0.442,2.0,4.9,0.401,0.9,1.5,0.576,0.596,0.5,0.6,0.867,0.2,2.1,2.4,1.0,0.4,0.2,0.7,1.9,8.2,0
Nick Richards,25.0,CHO,C,65.0,9.0,18.7,3.0,4.8,0.629,0.0,0.0,1.0,3.0,4.8,0.628,0.631,2.1,2.8,0.749,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,8.2,0
Aleksej Pokusevski,21.0,OKC,PF,34.0,25.0,20.6,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,0.51,0.6,1.0,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,0
Grant Williams,24.0,BOS,PF,79.0,23.0,25.9,2.7,6.0,0.454,1.5,3.7,0.395,1.3,2.3,0.546,0.575,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1.0,2.4,8.1,0
Kenrich Williams,28.0,OKC,PF,53.0,10.0,22.8,3.4,6.5,0.517,0.9,2.5,0.373,2.4,4.0,0.608,0.59,0.3,0.7,0.436,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0,0
Robert Williams,25.0,BOS,C,35.0,20.0,23.5,3.6,4.9,0.747,0.0,0.0,0.0,3.6,4.8,0.751,0.747,0.7,1.2,0.61,3.0,5.4,8.3,1.4,0.6,1.4,1.0,1.9,8.0,0
Jarred Vanderbilt,23.0,2TM,PF,78.0,65.0,24.1,3.2,5.8,0.548,0.4,1.2,0.322,2.8,4.6,0.604,0.58,1.2,1.8,0.691,2.2,5.3,7.5,2.4,1.1,0.3,1.2,2.4,7.9,0
Jarred Vanderbilt,23.0,UTA,PF,52.0,41.0,24.1,3.3,6.0,0.556,0.4,1.1,0.333,3.0,4.9,0.606,0.587,1.3,2.0,0.657,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,8.3,0
Jarred Vanderbilt,23.0,LAL,PF,26.0,24.0,24.0,2.8,5.4,0.529,0.4,1.3,0.303,2.5,4.1,0.598,0.564,1.1,1.4,0.784,1.9,4.8,6.7,1.6,1.2,0.2,1.1,2.2,7.2,0
Jeff Green,36.0,DEN,PF,56.0,4.0,19.5,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4.0,0.58,0.534,1.6,2.1,0.744,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8,0
Trey Lyles,27.0,SAC,PF,74.0,0.0,16.9,2.5,5.5,0.458,1.2,3.2,0.363,1.4,2.3,0.595,0.565,1.4,1.7,0.815,0.9,3.1,4.1,0.9,0.4,0.4,0.9,1.3,7.6,0
T.J. Warren,29.0,2TM,PF,42.0,0.0,16.4,3.1,6.4,0.489,0.5,1.6,0.328,2.6,4.8,0.542,0.53,0.7,0.8,0.8,0.6,2.3,2.9,1.0,0.5,0.3,0.5,1.5,7.5,0
T.J. Warren,29.0,BRK,PF,26.0,0.0,18.8,3.9,7.7,0.51,0.6,1.8,0.333,3.3,5.8,0.566,0.55,1.0,1.3,0.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5,0
Torrey Craig,32.0,PHO,PF,79.0,60.0,24.7,2.9,6.3,0.456,1.3,3.2,0.395,1.6,3.1,0.518,0.556,0.4,0.6,0.711,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4,0
Mitchell Robinson,24.0,NYK,C,59.0,58.0,27.0,3.2,4.7,0.671,0.0,0.0,0.0,3.2,4.7,0.671,0.671,1.0,2.1,0.484,4.5,4.9,9.4,0.9,0.9,1.8,0.7,2.7,7.4,0
Obi Toppin,24.0,NYK,PF,67.0,5.0,15.7,2.8,6.3,0.446,1.3,3.7,0.344,1.5,2.6,0.593,0.548,0.6,0.7,0.809,0.4,2.4,2.8,1.0,0.3,0.2,0.6,1.0,7.4,0
Trendon Watford,22.0,POR,PF,62.0,12.0,19.1,2.9,5.2,0.56,0.4,1.0,0.391,2.5,4.2,0.602,0.599,1.2,1.6,0.72,0.7,3.2,3.8,2.1,0.5,0.2,1.1,1.9,7.4,0
Jay Huff,24.0,WAS,C,7.0,0.0,13.6,2.1,3.6,0.6,0.9,1.7,0.5,1.3,1.9,0.692,0.72,2.1,2.3,0.938,0.9,2.1,3.0,1.4,0.4,0.6,0.7,2.1,7.3,0
Isaiah Jackson,21.0,IND,C,63.0,12.0,16.5,2.8,5.0,0.563,0.0,0.2,0.143,2.8,4.8,0.582,0.566,1.5,2.3,0.651,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,7.2,0
Chance Comanche,26.0,POR,C,1.0,0.0,21.0,3.0,5.0,0.6,0.0,0.0,0.0,3.0,5.0,0.6,0.6,1.0,4.0,0.25,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,0
Kevon Looney,26.0,GSW,C,82.0,70.0,23.9,3.0,4.7,0.63,0.0,0.0,0.0,3.0,4.7,0.632,0.63,1.1,1.9,0.606,3.3,5.9,9.3,2.5,0.6,0.6,0.5,2.7,7.0,0
Daniel Theis,30.0,IND,C,7.0,1.0,15.6,3.0,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0,0
Xavier Tillman Sr.,24.0,MEM,C,61.0,29.0,19.3,3.1,5.0,0.614,0.1,0.2,0.267,3.0,4.8,0.632,0.621,0.8,1.5,0.551,2.0,3.0,5.0,1.6,1.0,0.5,0.7,1.6,7.0,0
Jae Crowder,32.0,MIL,PF,18.0,3.0,18.9,2.5,5.2,0.479,1.3,3.1,0.436,1.2,2.2,0.538,0.606,0.6,0.7,0.833,0.9,2.9,3.8,1.5,0.7,0.3,0.4,1.5,6.9,0
Willy Hernangómez,28.0,NOP,C,38.0,2.0,12.1,2.3,4.4,0.527,0.1,0.3,0.273,2.3,4.2,0.544,0.536,2.1,2.7,0.779,1.5,3.2,4.7,0.9,0.4,0.3,1.0,1.7,6.9,0
Larry Nance Jr.,30.0,NOP,C,65.0,1.0,21.2,2.9,4.7,0.61,0.2,0.6,0.333,2.6,4.0,0.654,0.633,0.8,1.2,0.696,1.6,3.8,5.4,1.8,0.9,0.6,0.6,2.0,6.8,0
Jeremiah Robinson-Earl,22.0,OKC,PF,43.0,20.0,18.9,2.6,5.8,0.444,0.9,2.6,0.333,1.7,3.2,0.533,0.518,0.8,1.0,0.833,1.7,2.5,4.2,1.0,0.6,0.3,0.4,1.7,6.8,0
Justise Winslow,26.0,POR,PF,29.0,11.0,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.444,0.7,1.0,0.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8,0
Isaiah Livers,24.0,DET,PF,52.0,22.0,23.1,2.3,5.5,0.417,1.4,3.9,0.365,0.9,1.6,0.541,0.545,0.6,0.8,0.821,0.5,2.2,2.8,0.8,0.5,0.5,0.6,2.0,6.7,0
Dwight Powell,31.0,DAL,C,76.0,64.0,19.2,2.6,3.5,0.732,0.0,0.1,0.0,2.6,3.5,0.746,0.732,1.5,2.2,0.667,2.0,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,0
David Roddy,21.0,MEM,PF,70.0,4.0,18.0,2.6,6.0,0.429,0.9,3.0,0.307,1.6,3.0,0.553,0.506,0.6,0.9,0.631,0.7,2.0,2.8,0.8,0.4,0.3,0.8,1.5,6.7,0
Kevin Knox,23.0,POR,PF,21.0,4.0,17.1,3.2,7.3,0.444,1.0,3.3,0.314,2.2,4.0,0.554,0.516,1.0,1.3,0.741,0.7,2.6,3.3,0.9,0.5,0.0,0.9,1.0,8.5,0
Mo Bamba,24.0,2TM,C,49.0,7.0,15.7,2.4,4.9,0.485,1.0,2.5,0.387,1.4,2.4,0.59,0.585,0.8,1.3,0.661,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,0
Mo Bamba,24.0,ORL,C,40.0,6.0,17.0,2.7,5.4,0.495,1.1,2.7,0.398,1.6,2.7,0.594,0.596,0.9,1.3,0.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3,0
Mo Bamba,24.0,LAL,C,9.0,1.0,9.8,1.2,3.0,0.407,0.6,1.8,0.313,0.7,1.2,0.545,0.5,0.7,1.2,0.545,1.2,3.3,4.6,0.4,0.1,0.6,0.9,2.1,3.7,0
Drew Eubanks,25.0,POR,C,78.0,28.0,20.3,2.7,4.3,0.641,0.1,0.2,0.389,2.7,4.1,0.655,0.651,1.1,1.6,0.664,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6,0
Jock Landale,27.0,PHO,C,69.0,4.0,14.2,2.6,4.9,0.528,0.3,1.2,0.25,2.3,3.7,0.621,0.559,1.1,1.5,0.752,1.7,2.3,4.1,1.0,0.2,0.4,0.9,1.8,6.6,0
Luka Garza,24.0,MIN,C,28.0,0.0,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.8,2.8,0.636,0.603,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.1,0.1,0.5,1.5,6.5,0
Cody Zeller,30.0,MIA,C,15.0,2.0,14.5,2.5,3.9,0.627,0.0,0.1,0.0,2.5,3.8,0.649,0.627,1.6,2.3,0.686,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,6.5,0
Dario Šarić,28.0,2TM,C,57.0,12.0,14.1,2.2,4.9,0.458,0.8,2.0,0.391,1.4,2.8,0.506,0.54,1.1,1.3,0.829,0.9,2.7,3.6,1.3,0.4,0.1,1.0,1.7,6.4,0
Dario Šarić,28.0,PHO,PF,37.0,12.0,14.4,2.1,4.8,0.427,0.7,1.9,0.391,1.3,2.9,0.45,0.503,1.0,1.2,0.818,1.1,2.8,3.8,1.5,0.4,0.1,1.0,1.9,5.8,0
Dario Šarić,28.0,OKC,C,20.0,0.0,13.7,2.6,5.0,0.515,0.9,2.3,0.391,1.7,2.7,0.623,0.606,1.4,1.6,0.844,0.7,2.6,3.3,0.9,0.4,0.1,1.0,1.5,7.4,0
JaMychal Green,32.0,GSW,PF,57.0,1.0,14.0,2.4,4.4,0.54,0.7,1.9,0.378,1.6,2.5,0.667,0.623,0.9,1.2,0.776,1.3,2.3,3.6,0.9,0.4,0.4,0.9,1.8,6.4,0
Sandro Mamukelashvili,23.0,2TM,C,43.0,7.0,15.3,2.3,5.3,0.422,0.7,2.3,0.303,1.6,3.0,0.511,0.487,0.9,1.3,0.684,1.6,2.7,4.3,1.4,0.3,0.3,0.8,1.2,6.1,0
Sandro Mamukelashvili,23.0,MIL,C,24.0,0.0,9.0,0.8,2.4,0.328,0.3,1.3,0.219,0.5,1.1,0.462,0.388,0.5,0.8,0.667,0.8,1.6,2.3,0.7,0.2,0.2,0.4,0.8,2.4,0
Sandro Mamukelashvili,23.0,SAS,C,19.0,7.0,23.3,4.1,9.1,0.453,1.2,3.5,0.343,2.9,5.5,0.524,0.52,1.4,2.1,0.692,2.7,4.1,6.8,2.4,0.5,0.4,1.4,1.7,10.8,0
Mike Muscala,31.0,2TM,C,63.0,9.0,15.0,2.1,4.6,0.449,1.3,3.3,0.391,0.8,1.3,0.588,0.587,0.6,0.8,0.769,0.6,2.6,3.2,0.8,0.2,0.4,0.4,1.6,6.1,0
Mike Muscala,31.0,OKC,C,43.0,5.0,14.5,2.1,4.7,0.438,1.3,3.3,0.394,0.8,1.4,0.541,0.576,0.7,0.9,0.795,0.5,2.6,3.1,0.9,0.3,0.4,0.3,1.6,6.2,0
Mike Muscala,31.0,BOS,C,20.0,4.0,16.2,2.1,4.5,0.472,1.3,3.3,0.385,0.9,1.2,0.708,0.612,0.5,0.7,0.692,0.7,2.7,3.4,0.6,0.2,0.3,0.5,1.4,5.9,0
Nicolas Batum,34.0,LAC,PF,78.0,19.0,21.9,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.583,0.4,0.6,0.708,0.8,3.0,3.8,1.6,0.7,0.6,0.6,1.9,6.1,0
Oshae Brissett,24.0,IND,PF,65.0,2.0,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,0.461,1.6,2.2,0.717,1.0,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,0
Robert Covington,32.0,LAC,PF,48.0,0.0,16.2,2.1,4.8,0.445,1.1,2.8,0.397,1.0,1.9,0.516,0.563,0.6,0.8,0.75,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8,6.0,0
Andre Drummond,29.0,CHI,C,67.0,0.0,12.7,2.5,4.1,0.606,0.0,0.0,0.0,2.5,4.0,0.613,0.606,1.0,1.9,0.536,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6.0,0
Maxi Kleber,31.0,DAL,PF,37.0,5.0,25.1,2.1,4.6,0.456,1.1,3.0,0.348,1.0,1.5,0.667,0.571,0.7,1.0,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,0
Jaylin Williams,20.0,OKC,C,49.0,36.0,18.7,2.1,4.8,0.436,0.9,2.3,0.407,1.1,2.5,0.463,0.534,0.8,1.1,0.704,0.9,4.0,4.9,1.6,0.6,0.2,0.8,2.3,5.9,0
Charles Bassey,22.0,SAS,C,35.0,2.0,14.5,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.656,0.6,1.1,0.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,0
Montrezl Harrell,29.0,PHI,C,57.0,7.0,11.9,2.2,3.7,0.598,0.0,0.1,0.0,2.2,3.6,0.616,0.598,1.2,1.8,0.693,1.2,1.6,2.8,0.6,0.3,0.4,0.6,1.3,5.6,0
Jarrell Brantley,26.0,UTA,PF,4.0,0.0,9.8,2.0,3.5,0.571,1.0,2.3,0.444,1.0,1.3,0.8,0.714,0.5,0.5,1.0,0.3,1.3,1.5,0.8,0.0,0.5,0.5,0.8,5.5,0
Wenyen Gabriel,25.0,LAL,C,68.0,2.0,15.1,2.3,3.8,0.596,0.1,0.5,0.278,2.1,3.3,0.647,0.615,0.8,1.2,0.619,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,0
Nikola Jović,19.0,MIA,PF,15.0,8.0,13.6,1.9,4.6,0.406,0.5,2.3,0.229,1.3,2.3,0.588,0.464,1.2,1.3,0.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5,0
